鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
西屯區,房地(土地+建物)+車位,臺中市西屯區市政北一路91~120號,27.13,住,,,1050707,土地1建物1車位2,十七層,二十六層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,0990913,451.40999999999997,4,2,4,有,有,43000000,97899,坡道平面,53.04,4000000,,RPXNMLMJQHLFFCB38CA
西屯區,房地(土地+建物)+車位,臺中市西屯區市政北六路151~180號,38.03,其他,,,1050531,土地1建物1車位3,十三層,四十一層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1040723,653.79,0,0,0,無,有,105000000,160602,坡道平面,89.55,0,,RPOPMLPJQHLFFCB97CA
南屯區,房地(土地+建物)+車位,臺中市南屯區干城街301~330號,22.39,住,,,1050705,土地1建物1車位1,四層，五層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860606,223.7,4,2,2,有,有,11000000,49173,坡道機械,20.02,0,,RPQPMLPJQHLFFCB18CA
南屯區,房地(土地+建物),臺中市南屯區保安五街61~90號,14.86,住,,,1050530,土地2建物1車位0,四層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000728,85.31,2,2,1,有,有,5500000,64471,,0.0,0,,RPWOMLLKQHLFFCB38CA
南屯區,房地(土地+建物)+車位,臺中市南屯區文心南六路151~180號,17.07,商,,,1050628,土地1建物1車位1,一層,十二層,店面(店鋪),見其他登記事項,鋼筋混凝土造,0950623,115.66,1,1,2,有,有,16000000,138337,坡道平面,26.48,0,,RPQNMLMKQHLFFCB77CA
西屯區,房地(土地+建物),臺中市西屯區福瑞街1~30號,111.08,住,,,1050629,土地4建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1030218,328.76,6,2,5,有,有,27000000,82127,,0.0,0,,RPOOMLKKQHLFFCB47CA
西屯區,房地(土地+建物)+車位,臺中市西屯區潮洋里朝富路211~240號,77.5,其他,,,1050711,土地1建物1車位6,三十二層,三十四層,辦公商業大樓,見其他登記事項,鋼骨鋼筋混凝土造,1040924,1434.92,0,0,0,無,有,154070000,107437,坡道平面,98.6,10500000,,RPROMLTJQHLFFCB58CA
西屯區,房地(土地+建物),臺中市西屯區惠中路一段181~210號,8.94,其他,,,1050705,土地1建物1車位0,二十五層,二十九層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,0990211,171.32,3,2,2,有,有,17500000,102148,,0.0,0,,RPOOMLQKQHLFFCB08CA
西屯區,房地(土地+建物)+車位,臺中市西屯區西苑一街61~90號,23.5,住,,,1050527,土地2建物1車位1,四層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1031215,211.98000000000002,3,2,2,有,有,12280000,62293,坡道平面,34.11,1200000,,RPTOMLNLQHLFFCB38CA
南屯區,房地(土地+建物)+車位,臺中市南屯區文心南六路151~180號,18.35,住,,,1050621,土地1建物1車位1,二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0970425,168.44,2,2,1,有,有,13250000,78663,坡道平面,0.0,0,,RPPNMLPLQHLFFCB08CA
后里區,土地,金城段301~330地號,46.5,,特定農業區,農牧用地,1050713,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,418500,9000,,0.0,0,協議價購。,RPSQMLRLPHLFFAL96CA
后里區,土地,金城段301~330地號,773.5,,特定農業區,農牧用地,1050713,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6961500,9000,,0.0,0,協議價購。,RPQQMLRLPHLFFAL76CA
后里區,土地,四塊厝段451~480地號,57.29,,特定農業區,農牧用地,1050713,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,515597,9000,,0.0,0,協議價購。,RPWPMLRLPHLFFAL27CA
后里區,土地,四塊厝段451~480地號,114.58,,特定農業區,農牧用地,1050713,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1031194,9000,,0.0,0,協議價購。,RPXPMLRLPHLFFAL37CA
后里區,土地,四塊厝段541~570地號,26.0,,特定農業區,交通用地,1050713,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,195000,7500,,0.0,0,協議價購。,RPOQMLRLPHLFFAL56CA
后里區,土地,四塊厝段451~480地號,391.39,,特定農業區,農牧用地,1050713,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3522500,9000,,0.0,0,協議價購。,RPTPMLRLPHLFFAL96CA
神岡區,房地(土地+建物),臺中市神岡區大漢街1巷31~60號,20.35,住,,,1050702,土地1建物1車位0,二層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820615,106.28,3,2,2,有,有,3700000,34814,,0.0,0,,RPWNMLTLPHLFFAL27CA
豐原區,房地(土地+建物),臺中市豐原區育英路61~90號,12.55,住,,,1050618,土地1建物1車位0,四層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0811125,66.18,2,1,1,有,有,2400000,36265,,0.0,0,,RPUNMLSLPHLFFAL96CA
豐原區,房地(土地+建物),臺中市豐原區南陽路綠山巷161弄1~30號,176.34,住,,,1050526,土地4建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1030314,248.92,6,2,4,有,無,14000000,56243,,0.0,0,,RPPRMLRLPHLFFAL76CA
神岡區,房地(土地+建物),臺中市神岡區大漢街61~90號,22.72,住,,,1050706,土地1建物1車位0,三層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0850202,155.32,3,2,2,有,有,4700000,30260,,0.0,0,,RPQNMLSLPHLFFAL56CA
后里區,房地(土地+建物),臺中市后里區四月路76巷2弄1~30號,86.99,,特定農業區,甲種建築用地,1050612,土地4建物1車位0,全,三層,透天厝,見使用執照,鋼筋混凝土造,0860509,148.28,4,1,4,有,無,5500000,37092,,0.0,0,,RPQNMLMJQHLFFAL48CA
豐原區,房地(土地+建物),臺中市豐原區豐東路250巷18弄1~30號,103.93,住,,,1050630,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0671207,115.88,4,3,2,有,無,7580000,65412,,0.0,0,私契與公契權利人不一含增建或未登記建物。,RPQOMLOJQHLFFAL78CA
