鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
橋頭區,房地(土地+建物)+車位,高雄市橋頭區橋新三路481~510號,32.98,住,,,1050601,土地1建物1車位1,五層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1050130,171.83999999999997,3,2,2,有,有,8730000,50704,坡道平面,24.91,1280000,,RPOOMLLLPHLFFFE18CA
橋頭區,房地(土地+建物)+車位,高雄市橋頭區橋新三路481~510號,32.98,住,,,1050601,土地1建物1車位1,九層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1050130,171.83999999999997,3,2,2,有,有,9130000,53427,坡道平面,24.91,1280000,,RPQNMLMLPHLFFFE38CA
岡山區,房地(土地+建物),高雄市岡山區岡燕路1巷1~30號,60.0,商,,,1050523,土地2建物1車位0,全,二層,透天厝,住家用,加強磚造,,94.3,3,2,2,有,無,3000000,31813,,0.0,0,,RPRNMLRLPHLFFFE98CA
岡山區,房地(土地+建物),高雄市岡山區勵志二路61~90號,34.48,住,,,1050711,土地1建物1車位0,六層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0950512,173.97,3,2,2,有,有,5100000,29315,,0.0,0,,RPQNMLLJQHLFFFE18CA
燕巢區,土地,深水段181~210地號,1308.0,,,,1050424,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3192638,2441,,0.0,0,畸零地或有合併使用之交易。,RPUNMLKKQHLFFFE58CA
岡山區,房地(土地+建物)+車位,高雄市岡山區岡山路241~270號,62.3,住,,,1050414,土地1建物1車位3,十五層,十六層,辦公商業大樓,商業用,鋼筋混凝土造,0830801,816.8299999999999,0,0,0,無,有,10000000,12242,坡道平面,0.0,0,修繕費用2385000元，仲介服務費200000元，契稅259974元。,RPOPMLPKQHLFFFE68CA
鳳山區,土地,五甲段1591~1620地號,16.0,住,,,1050630,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,888000,55500,,0.0,0,,RPQOMLSKPHLFFGE09CA
鳳山區,房地(土地+建物),高雄市鳳山區林森路181~210號,38.0,住,,,1050707,土地1建物1車位0,全,三層,透天厝,住商用,鋼筋混凝土造,0721101,81.96,0,0,0,無,無,6300000,76867,,0.0,0,,RPOPMLSKPHLFFGE98CA
鳳山區,房地(土地+建物)+車位,高雄市鳳山區保華二路271~300號,19.23,住,,,1050617,土地1建物1車位1,十四層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1031013,114.72,2,2,1,有,無,5650000,49250,坡道平面,27.83,0,,RPPNMLTKPHLFFGE98CA
大樹區,房地(土地+建物)+車位,高雄市大樹區九大路691~720號,14.45,住,,,1050608,土地1建物1車位1,九層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0860505,116.93,3,2,2,有,有,2700000,23091,坡道機械,0.0,0,,RPTOMLTKPHLFFGE86CA
大樹區,土地,大樹新吉段151~180地號,798.9,住,,,1050612,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,14257940,17847,,0.0,0,,RPUOMLTKPHLFFGE96CA
鳳山區,房地(土地+建物),高雄市鳳山區工協街1~30號,66.32,住,,,1050524,土地1建物1車位0,一層，二層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1010605,262.97,0,0,0,無,無,13710000,52135,,0.0,0,,RPOOMLKLPHLFFGE18CA
鳳山區,房地(土地+建物)+車位,高雄市鳳山區文化西路61~90號,16.6,住,,,1050630,土地1建物1車位1,十二層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1010530,127.63,3,2,2,有,有,7040000,55159,坡道機械,0.0,0,,RPTOMLKLPHLFFGE68CA
鳳山區,房地(土地+建物),高雄市鳳山區瑞興路135巷41弄1~30號,79.99,住,,,1050705,土地2建物1車位0,全,五層,透天厝,見其他登記事項,鋼筋混凝土造,0910116,252.6,5,2,4,有,有,9380000,37134,,0.0,0,,RPUOMLKLPHLFFGE78CA
鳳山區,房地(土地+建物),高雄市鳳山區中山東路58巷31~60號,9.22,住,,,1050628,土地1建物1車位0,九層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860825,123.18,3,1,2,有,無,3700000,30037,,0.0,0,,RPQNMLMLPHLFFGE48CA
鳳山區,房地(土地+建物),高雄市鳳山區文澄街1~30號,38.74,住,,,1050607,土地1建物1車位0,一層，二層，騎樓,七層,華廈(10層含以下有電梯),住商用,鋼筋混凝土造,0830816,191.29,3,2,2,有,無,6300000,32934,,0.0,0,,RPQOMLLLPHLFFGE48CA
大樹區,房地(土地+建物),高雄市大樹區九大路691~720號,14.73,住,,,1050622,土地1建物1車位0,四層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860505,112.85000000000001,3,2,2,有,有,2300000,20381,,0.0,0,,RPUOMLPLPHLFFGE66CA
鳳山區,房地(土地+建物),高雄市鳳山區祥和街51巷1~30號,71.43,住,,,1050705,土地2建物1車位0,全,四層,透天厝,見其他登記事項,見其他登記事項,0950610,180.48,4,2,3,有,無,8500000,47097,,0.0,0,,RPQQMLLJQHLFFGE58CA
鳳山區,房地(土地+建物)+車位,高雄市鳳山區建國路三段61~90號,9.95,住,,,1050603,土地1建物1車位1,十三層,二十八層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,0961215,130.84,3,2,2,有,有,5700000,43565,坡道機械,0.0,0,,RPQPMLNJQHLFFGE68CA
鳳山區,房地(土地+建物)+車位,高雄市鳳山區建國路三段61~90號,8.06,住,,,1050619,土地1建物1車位1,十六層,二十八層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,0961215,99.84,2,2,1,有,有,4550000,45573,坡道機械,0.0,0,,RPRNMLNJQHLFFGE58CA
鳳山區,房地(土地+建物),高雄市鳳山區合作街38巷1~30號,41.2,住,,,1050701,土地1建物1車位0,一層,五層,公寓(5樓含以下無電梯),見使用執照,鋼筋混凝土造,0830726,117.28,3,1,1,有,無,1852160,15793,,0.0,0,本案件係伯父讓售給姪子們之性質，無訂定私契，土地依公告現值申報，房屋依評定現值申報。,RPXOMLPJQHLFFGE86CA
鳳山區,房地(土地+建物),高雄市鳳山區華山街421~450號,74.0,住,,,1050629,土地1建物1車位0,全,二層,透天厝,住商用,鋼筋混凝土造,0670720,97.37,4,2,3,有,無,7300000,74972,,0.0,0,,RPTNMLSJQHLFFGE66CA
鳳山區,房地(土地+建物)+車位,高雄市鳳山區永忠街31~60號,26.68,住,,,1050602,土地1建物1車位1,十三層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1040428,140.64999999999998,3,2,2,有,有,6890000,48987,坡道平面,18.81,0,,RPXNMLSJQHLFFGE07CA
鳳山區,房地(土地+建物),高雄市鳳山區中山東路58巷31~60號,7.87,住,,,1050626,土地1建物1車位0,十七層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860825,105.91,3,2,2,有,有,3100000,29270,,0.0,0,,RPRPMLTJQHLFFGE76CA
