鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
萬華區,房地(土地+建物),臺北市萬華區康定路91~120號,4.46,商,,,1050516,土地1建物1車位0,九層,二十六層,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1050331,65.84,2,2,1,有,無,13070000,198512,,0,0,,RPSQMLSJQHLFFBA58CA
萬華區,房地(土地+建物)+車位,臺北市萬華區康定路91~120號,4.83,商,,,1050516,土地1建物1車位1,十三層,二十六層,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1050331,99.54,2,2,1,有,無,16410000,220383,坡道平面,33.7,1900000,,RPUQMLSJQHLFFBA78CA
萬華區,房地(土地+建物)+車位,臺北市萬華區康定路91~120號,4.83,商,,,1050516,土地1建物1車位1,十五層,二十六層,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1050331,99.49,2,2,1,有,無,15330000,201094,坡道平面,33.7,2100000,,RPVQMLSJQHLFFBA88CA
萬華區,房地(土地+建物)+車位,臺北市萬華區康定路91~120號,4.8,商,,,1050516,土地1建物1車位1,十八層,二十六層,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1050331,99.43,2,2,1,有,無,15460000,207820,坡道平面,33.7,1800000,,RPWQMLSJQHLFFBA98CA
萬華區,房地(土地+建物)+車位,臺北市萬華區康定路91~120號,10.04,商,,,1050516,土地1建物1車位1,二十一層,二十六層,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1050331,176.66,3,2,2,有,無,33290000,214690,坡道平面,33.7,2600000,,RPXQMLSJQHLFFBA09CA
萬華區,房地(土地+建物)+車位,臺北市萬華區康定路91~120號,10.04,商,,,1050516,土地1建物1車位1,二十二層,二十六層,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1050331,176.66,3,2,2,有,無,33800000,218958,坡道平面,33.7,2500000,,RPORMLSJQHLFFBA28CA
萬華區,房地(土地+建物)+車位,臺北市萬華區康定路91~120號,10.04,商,,,1050516,土地1建物1車位1,二十四層,二十六層,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1050331,176.66,3,2,2,有,無,36580000,236306,坡道平面,33.7,2800000,,RPPRMLSJQHLFFBA38CA
萬華區,房地(土地+建物)+車位,臺北市萬華區康定路91~120號,11.71,商,,,1050516,土地1建物1車位1,十七層,二十六層,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1050331,202.09,4,2,2,有,無,42280000,233876,坡道平面,33.7,2900000,,SPPRMLSJQHLFFBA48CA
萬華區,房地(土地+建物),臺北市萬華區康定路91~120號,3.53,商,,,1050516,土地1建物1車位0,四層,二十六層,套房(1房1廳1衛),住家用,見其他登記事項,1050331,52.1,1,1,1,有,無,10450000,200537,,0,0,,RPQRMLSJQHLFFBA48CA
萬華區,房地(土地+建物),臺北市萬華區康定路91~120號,3.53,商,,,1050516,土地1建物1車位0,六層,二十六層,套房(1房1廳1衛),住家用,見其他登記事項,1050331,52.1,1,1,1,有,無,9800000,188064,,0,0,,RPRRMLSJQHLFFBA58CA
